candidate,reference,bertscore_P,bertscore_R,bertscore_F1,moverscore,sms
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
Le lezioni che si svolgono il Lunedì sono:,Le lezioni del Lunedì sono:,0.8569859862327576,0.9592166543006897,0.9052241444587708,,0.9961735904216766
[1] Programmazione – Lab T,"- Programmazione (PR) – Lab T, 09:00‑11:00",0.7734942436218262,0.6820506453514099,0.7249000072479248,,0.9025799632072449
[2] Deep Learning – Lab M,"- Deep Learning (DL) – Lab M, 14:00‑16:00",0.7839973568916321,0.6837753057479858,0.7304646372795105,,0.9542049765586853
[3] Machine Learning – Lab T,"- Machine Learning (ML) – Lab T, 09:00‑11:00",0.7845026254653931,0.6925742626190186,0.7356777787208557,,0.9468986988067627
[4] Statistica Computazionale – Aula Magna di Matematica,"- Statistica Computazionale (SC) – Aula Magna di Matematica, 09:00‑11:00",0.8543986678123474,0.7528807520866394,0.8004336953163147,,0.9666895270347595
,,0.0,0.0,0.0,,0.9999999701976776
